WL FLUX ERROR
1214.63 -9.367748724539876e-25 4.341997965304576e-16
1214.95 1.0296509490601636e-21 1.9113846082942822e-16
1215.26 -4.599443651758162e-19 1.6629922886661625e-16
1215.58 -9.173783633374887e-16 1.5808160739068715e-16
1215.89 2.3532931171773406e-12 1.558221014068836e-16
1216.21 3.3461900032685995e-13 1.543718050821988e-16
1216.52 2.389020781579454e-14 1.5399709419974237e-16
1216.84 1.7105954975466573e-14 1.5685966113895926e-16
1217.15 1.7445888222650806e-14 1.592770294963139e-16
1217.47 6.4477036196500806e-15 1.6278743674767435e-16
1217.79 7.01620120038978e-15 1.6945034431130625e-16
1218.1 5.3580787933259085e-15 1.759729485986131e-16
1218.42 6.381627770565431e-15 1.7942433981483916e-16
1218.73 4.712791742183155e-15 1.8501366766081716e-16
1219.05 5.2837642055756836e-15 1.8962704573500123e-16
1219.36 4.543152496250761e-15 1.9018096739649468e-16
1219.68 5.25402494582302e-15 1.919754351025217e-16
1220.0 4.503299718289759e-15 1.964364961614423e-16
1220.31 3.704433729353889e-15 1.981639441284276e-16
1220.63 4.02023163970296e-15 1.97982485140008e-16
1220.94 4.57180834028413e-15 2.0335408419080662e-16
1221.26 4.47218171302988e-15 2.0719769544239656e-16
1221.58 4.2519209183213005e-15 2.0700139325046456e-16
1221.9 3.891682244605713e-15 2.0799588787114084e-16
1222.21 4.6426463346948636e-15 2.0852676120115898e-16
1222.53 4.998327880956839e-15 2.1493424969944355e-16
1222.84 4.500989435070902e-15 2.1736390249679738e-16
1223.16 5.34467847842201e-15 2.2232010233156105e-16
1223.48 4.468182741103575e-15 2.220423061554601e-16
1223.8 5.1914941769953396e-15 2.1853000637193105e-16
1224.11 4.289046194479658e-15 2.174527629146894e-16
1224.43 5.2370711878373626e-15 2.2366573064868104e-16
1224.75 4.721334355103983e-15 2.259928468869028e-16
1225.06 4.978541419691214e-15 2.239761133314905e-16
1225.38 4.626554300615629e-15 2.2049554284273501e-16
1225.7 4.8990566656653586e-15 2.195023819338035e-16
1226.02 4.2696214615965755e-15 2.2019281861988636e-16
1226.34 4.1435916288791025e-15 2.204484525174745e-16
1226.65 3.630547194685202e-15 2.1255657275293977e-16
1226.97 3.3821080698313518e-15 2.1091313922742112e-16
1227.29 3.646885253011148e-15 2.105437308939855e-16
1227.61 4.232001527612815e-15 2.1321023231096132e-16
1227.93 4.163008838509232e-15 2.1465347664650258e-16
1228.24 4.052832711490276e-15 2.1445865865584416e-16
